10:00:02: Enter: 1, Exit: 0
10:00:07: Enter: 0, Exit: 1
10:00:13: Enter: 2, Exit: 0
10:00:19: Enter: 0, Exit: 1
10:00:24: Enter: 1, Exit: 0
10:00:28: Enter: 0, Exit: 1
10:00:33: Enter: 0, Exit: 2  
10:00:40: Enter: 1, Exit: 0
10:00:45: Enter: 0, Exit: 1
10:01:02: Enter: 2, Exit: 0
10:01:08: Enter: 1, Exit: 0
10:01:14: Enter: 0, Exit: 1
10:01:23: Enter: 1, Exit: 0
10:01:27: Enter: 0, Exit: 1
10:01:32: Enter: 0, Exit: 2
10:01:40: Enter: 1, Exit: 0
// (continues for 29 minutes and 15 seconds) ...
10:29:37: Enter: 0, Exit: 1
10:29:42: Enter: 1, Exit: 0
10:29:47: Enter: 0, Exit: 1
10:29:52: Enter: 0, Exit: 1
10:29:57: Enter: 1, Exit: 0
10:30:00: Enter: 0, Exit: 1
